source_rank,result_id,agent,agent_creator,model,model_creator,series,effort,source_effort,effort_order,source_display_model,source_display_label,route_provider,host_model_slug,variant_of_result_id,benchmark_version,index_component_count,eval_count,data_scope,coding_agent_score,recomputed_component_mean,score_delta,deep_swe_score,terminal_bench_v2_score,swe_atlas_qna_score,cost_usd_per_task,agent_wall_time_sec,steps_per_task,input_tokens,cache_write_tokens,cache_read_tokens,cache_hit_rate,output_tokens,total_tokens,total_tokens_million,source_url,methodology_url,observed_at_utc,source_sha256
25,7cf3f9a8ffd09d3ac7c6986bd9530811,Codex,OpenAI,GPT-5.5,OpenAI,Codex · GPT-5.5,xhigh,xhigh,90,GPT-5.5 (xhigh),Codex - GPT-5.5 (xhigh),openai,openai_gpt-5-5,,Coding Agent Index v1.3,3,3,complete,61.485091388031734,61.485091388031734,0.0,64.30678466076701,84.1269841269841,36.021505376344095,5.069575952232609,604.9694164070614,106.33541017653167,6203311.306334372,,6018972.444444448,0.9391194828437405,37946.51401869159,12260230.264797531,12.260230264797531,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
26,40743f41c6416cb5bd1ca0b58b901a62,Claude Code,Anthropic,Qwen3.7 Plus,Alibaba Cloud,Claude Code · Qwen3.7 Plus,thinking,thinking,60,Qwen3.7 Plus (thinking),Claude Code - Qwen3.7 Plus (thinking),alibaba_cloud,alibaba_cloud_qwen3-7-plus,,Coding Agent Index v1.3,3,3,complete,35.9697734519316,35.9697734519316,0.0,19.174041297935098,65.0793650793651,23.6559139784946,6.226261819189548,633.8206448598129,145.85306334371754,4668456.422637591,0.0,3995341.358255451,0.8100362490614594,32126.6251298027,8695924.406022852,8.695924406022852,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
27,33a4c799b2d8700c6f1b59efaa222db0,Codex,OpenAI,GPT-5.5,OpenAI,Codex · GPT-5.5,medium,medium,50,GPT-5.5 (medium),Codex - GPT-5.5 (medium),openai,openai_gpt-5-5,,Coding Agent Index v1.3,3,3,complete,54.35866007518876,54.358660075188766,1.1102230246251565e-14,56.637168141592895,75.7936507936508,30.645161290322598,2.7545190841121476,384.1285565939767,78.27933541017653,3525549.140186916,,3419804.710280373,0.9480629357255651,17196.485981308408,6962550.336448594,6.962550336448594,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
28,abf2a954484a4209b9767b0ba9e58f90,Codex,OpenAI,GPT-5.4,OpenAI,Codex · GPT-5.4,medium,medium,50,GPT-5.4 (medium),Codex - GPT-5.4 (medium),openai,openai_gpt-5-4,,Coding Agent Index v1.3,3,3,complete,39.05103259941966,39.05103259941966,0.0,25.0,69.8412698412698,22.311827956989198,2.4151032730654785,425.0698348214286,72.8125,3011113.239583333,,2895710.285714288,0.9285724029679613,18148.58035714286,5924972.105654759,5.924972105654759,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
29,6fbb3572412c46b0746c08d31f3a3a76,Claude Code,Anthropic,Kimi K2.6,Moonshot AI,Claude Code · Kimi K2.6,default,default,20,Kimi K2.6,Claude Code - Kimi K2.6,moonshotai,moonshot_kimi-k2-6,,Coding Agent Index v1.3,3,3,complete,32.6185265237506,32.618526523750596,5.551115123125783e-15,16.519174041297898,65.4761904761905,15.8602150537634,1.188952092336449,2460.8149844236777,131.28893768219294,5786198.591900311,0.0,5631882.52544133,0.9578768116530781,36274.77258566978,11454355.889927303,11.454355889927303,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
30,e3ee270a3cfa80316efab902375f8f59,Claude Code,Anthropic,GLM-5.1,Z.ai,Claude Code · GLM-5.1,default,default,20,GLM-5.1,Claude Code - GLM-5.1,friendliai,friendliai_glm-5-1,,Coding Agent Index v1.3,3,3,complete,36.13153955717473,36.13153955717473,0.0,18.5840707964602,65.0793650793651,24.7311827956989,4.331216886438215,1175.9607663551399,174.2663551401869,13212121.98026999,0.0,12620805.715472473,0.8782327110290377,50446.5067497404,25883374.202492192,25.883374202492192,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
31,4b7c9a05dd7b156199e1b13db78c4b9a,Claude Code,Anthropic,Sonnet 4.6,Anthropic,Claude Code · Sonnet 4.6,medium,medium,50,Sonnet 4.6 (medium),Claude Code - Sonnet 4.6 (medium),anthropic,anthropic_claude-sonnet-4-6,,Coding Agent Index v1.3,3,3,complete,37.60597492398807,37.605974923988065,5.551115123125783e-15,28.9085545722714,64.2857142857143,19.6236559139785,2.0058686946521296,807.4225254413302,67.15732087227414,4224650.595015576,115641.49325025959,4102518.3842159905,0.9486445789864011,38508.43302180686,8481318.905503629,8.48131890550363,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
32,726931dbd50f5543365b6a678dd274a7,Claude Code,Anthropic,Opus 4.8,Anthropic,Claude Code · Opus 4.8,high,high,70,Opus 4.8 (high),Claude Code - Opus 4.8 (high),anthropic,anthropic_claude-opus-4-8_api-key,,Coding Agent Index v1.3,3,3,complete,56.69800035343854,56.69800035343854,0.0,51.622418879056,79.7619047619048,38.7096774193548,3.716595523883698,739.9765025960547,103.8276220145379,4534207.575285566,79305.70093457942,4453816.148494289,0.9688452406606847,39491.217030114225,9106820.641744535,9.106820641744536,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
33,227c709b3252786e581dae0bd6f139c4,Claude Code,Anthropic,Opus 4.8,Anthropic,Claude Code · Opus 4.8,xhigh,xhigh,90,Opus 4.8 (xhigh),Claude Code - Opus 4.8 (xhigh),anthropic,anthropic_claude-opus-4-8,,Coding Agent Index v1.3,3,3,complete,58.47285848713197,58.472858487131965,1.1102230246251565e-14,51.327433628318595,81.3492063492063,42.741935483871,5.66619238421601,1057.2061214953283,136.35877466251299,6846437.872274144,119844.1142263759,6724843.129283491,0.9694768683367349,61720.96417445483,13752846.07995847,13.75284607995847,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
34,874d362afe7f826f1f6c4737124f82e3,Claude Code,Anthropic,Opus 4.8,Anthropic,Claude Code · Opus 4.8,medium,medium,50,Opus 4.8 (medium),Claude Code - Opus 4.8 (medium),anthropic,anthropic_claude-opus-4-8,,Coding Agent Index v1.3,3,3,complete,53.56028921544193,53.56028921544193,0.0,49.2625368731563,75.39682539682539,36.021505376344095,3.263124304517135,742.5446853582553,92.90936330993758,3870141.7487019734,77277.95119418483,3787947.6427829717,0.964542496947287,34207.087227414326,7769574.429906536,7.769574429906536,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
